order_id,product_id,quantity,unit_price,order_date
OD3000, PR04,3,350000,14/01/2024
OD3001,pr02, 3 , 300000 ,05/02/2024
OD3002,pr02,2x,250000,23/04/2024
OD3003,PR01 , 3 ,150000,2024-04-18
OD3004, PR05, 3 ,150000,2024-03-15
OD3005, PR04,2x,250000,2024-03-11
OD3006,PR03 ,2x, 300000 ,09/04/2024
OD3007,pr02,3,200k,08/04/2024
OD3008, PR05, 3 ,350000,05/03/2024
OD3009, PR05,1,200k,02/01/2024
OD3010,pr02,2x,1.250.000đ,06/03/2024
OD3011,pr02,-1,250000,13/03/2024
OD3012,pr02, 3 ,1.250.000đ,15/02/2024
OD3013,PR01 ,2,200k,03/02/2024
OD3014,PR03 ,2,150000,2024-03-07
OD3015,PR03 ,-1,200k,2024-04-22
OD3016,PR01 ,1,1.250.000đ,31/03/2024
OD3017, PR05, 3 ,350000,2024-02-03
OD3018, PR05,2x, 300000 ,24/03/2024
OD3019, PR04,3, 300000 ,2024-04-16
OD3020,PR01 ,2x,350000,26/04/2024
OD3021,pr02,2x,200k,21/04/2024
OD3022,PR03 ,-1,200k,2024-01-01
OD3023, PR05,2,200k,10/01/2024
OD3024, PR05, 3 ,350000,24/01/2024
OD3025,pr02,3, 300000 ,2024-01-16
OD3026,pr02,-1,350000,2024-03-02
OD3027, PR04,-1,250000,2024-03-23
OD3028, PR04,1,250000,14/03/2024
OD3029, PR05,2,250000,2024-01-06
OD3030, PR05,2,150000,28/04/2024
OD3031,pr02,2x,200k,2024-03-13
OD3032,PR01 , 3 ,1.250.000đ,2024-02-06
OD3033,PR01 ,2,200k,2024-03-01
OD3034, PR04,2,250000,2024-03-17
OD3035,pr02,2x,250000,2024-03-06
OD3036,PR03 ,2,1.250.000đ,2024-04-28
OD3037, PR04,2x, 300000 ,18/02/2024
OD3038, PR04,2,150000,07/03/2024
OD3039, PR05, 3 ,200k,2024-03-18
OD3040,PR01 ,2,200k,2024-03-17
OD3041,PR01 ,2x, 300000 ,2024-01-12
OD3042, PR04, 3 ,250000,2024-03-10
OD3043,PR01 , 3 ,1.250.000đ,23/02/2024
OD3044,PR03 ,1,1.250.000đ,2024-01-30
OD3045, PR04,-1,350000,2024-04-04
OD3046, PR05,1,200k,02/03/2024
OD3047,pr02,1,350000,2024-03-10
OD3048, PR04,3,250000,05/04/2024
OD3049,PR01 ,2x, 300000 ,01/01/2024
OD3050, PR04, 3 ,250000,2024-02-10
OD3051, PR04,3,150000,24/03/2024
OD3052, PR05,3,350000,2024-02-24
OD3053, PR05,3, 300000 ,28/03/2024
OD3054, PR04,2,200k,2024-03-12
OD3055, PR04,2,350000,2024-03-02
OD3056,PR03 ,3, 300000 ,31/03/2024
OD3057, PR04, 3 ,250000,2024-03-25
OD3058,PR01 , 3 ,250000,30/03/2024
OD3059,pr02,1,250000,2024-04-10
OD3060,PR03 ,2x, 300000 ,2024-03-31
OD3061,PR01 ,2,200k,2024-01-01
OD3062,PR01 ,2,200k,2024-02-25
OD3063,PR01 ,1,350000,11/01/2024
OD3064, PR05,1,1.250.000đ,21/02/2024
OD3065, PR05, 3 , 300000 ,17/03/2024
OD3066,PR01 ,2,1.250.000đ,02/01/2024
OD3067,pr02, 3 , 300000 ,05/01/2024
OD3068, PR05,2x, 300000 ,2024-03-19
