order_id,product_id,reason,refund_amount
OD3073, PR04,Loi san pham,100000
OD3020,PR01 ,hong,150k
OD3040,pr02,Khong nhu mong doi,150k
OD3077,PR01 ,  ,150k
OD3113,PR03 ,Khong nhu mong doi,
OD3066, PR04,  ,150000
OD3023, PR05,Loi san pham,150000
OD3093, PR05,mEO MO ,150k
OD3095, PR04,mEO MO ,100000
OD3026,pr02,  ,100000
OD3012, PR05,  ,
OD3006,PR01 ,  ,
OD3097,pr02,Loi san pham,150k
OD3079, PR04,Loi san pham, 200000 
OD3039, PR05,hong,150k
OD3056, PR05,hong,150000
OD3067,pr02,hong,100000
OD3004, PR04,Khong nhu mong doi,150k
OD3110,PR03 ,  ,
OD3119, PR04,!@#$, 200000 
OD3017, PR04,!@#$,150000
OD3075, PR05,  ,
OD3055,pr02,mEO MO ,
OD3039, PR05,Khong nhu mong doi, 200000 
OD3069, PR05,Loi san pham, 200000 
OD3039, PR05,  ,150k
OD3019, PR04,Loi san pham,100000
OD3066,PR03 ,hong,150k
OD3036,PR03 ,!@#$,100000
OD3088, PR04,  , 200000 
OD3038,pr02,  ,150k
OD3076, PR05,Loi san pham,
OD3047, PR05,  ,
OD3055, PR04,hong,150000
OD3091, PR04,mEO MO , 200000 
OD3106, PR04,hong,150k
OD3010, PR04,mEO MO ,150000
OD3066, PR05,!@#$,150k
OD3036,pr02,mEO MO ,
OD3103, PR04,  ,150000
OD3109, PR05,hong,150000
OD3037,PR03 ,mEO MO , 200000 
OD3079, PR04,Khong nhu mong doi,
OD3062, PR05,Khong nhu mong doi,100000
OD3019,PR03 ,!@#$,100000
OD3023,PR01 ,Khong nhu mong doi,150k
OD3016, PR05,  ,100000
OD3029,pr02,hong,100000
OD3063, PR04,Khong nhu mong doi, 200000 
OD3039, PR04,  ,150k
OD3059, PR04,Loi san pham,150k
OD3010,pr02,hong,100000
OD3034,PR03 ,  ,100000
OD3069,PR03 ,hong,150000
OD3114,pr02,Khong nhu mong doi, 200000 
OD3106,pr02,Loi san pham,150000
OD3049,pr02,  ,150000
OD3094, PR05,hong, 200000 
OD3094,pr02,Loi san pham,
OD3085,pr02,  , 200000 
